Filename;ActivityName;Location;ReferenceProduct
019713d8-6f2d-4094-bbeb-938faf1a9f6e_5f9b49ad-6aa8-42ee-8d55-af2982e9f0f8.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, label-certified;CH;electricity, high voltage, label-certified
019713d8-6f2d-4094-bbeb-938faf1a9f6e_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, label-certified;CH;heat, district or industrial, other than natural gas
019b3a97-fb2c-4cfa-abc7-ead7391ea2d2_8d7c013a-5aca-44d7-8fc4-193844d2953a.spold;treatment of waste packaging paper, unsanitary landfill, very wet infiltration class (1000mm);GLO;waste packaging paper
019b93c2-e55d-46c9-8156-973fc4a3e9a8_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, CdTe, laminated, integrated;CH;electricity, low voltage
019c6c5c-f9a7-4978-964b-56604ba5c950_7ea592df-7f46-4f29-9056-874760d3f37c.spold;sodium phenolate production;RER;sodium phenolate
01a006ff-37b7-4d97-a5ad-cbb768305a39_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;GE;electricity, low voltage
01a229a3-0c68-4ab1-845b-13bd697fbc34_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from CA-QC;CA-NB;electricity, high voltage
01a790a1-52c2-44e1-9e83-315a2780a53e_f3a6095a-d689-5bcf-8bd9-6ae701313632.spold;market for polyethylene, high density, granulate, recycled;RoW;polyethylene, high density, granulate, recycled
01ac24e3-1546-4dd0-81ad-bcaea9d5f743_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, pressure water reactor;CN-ZJ;electricity, high voltage
01b291b7-7bf1-4818-9330-fe6340df8625_775234b1-0e93-4cdb-9cd2-db60577e1a5a.spold;solar collector system installation, evacuated tube collector, one-family house, combined system;CH;solar collector system, with evacuated tube collector, one-family house, combined system
01bd170b-333e-4f7f-9e43-4aedca23d44a_e349df37-4d2f-4654-bd54-6c68e03b6197.spold;geothermal power plant construction;NI;geothermal power plant, 5.5MWel
01bfcfe4-ebde-4856-bfe7-6c99e1b6cf66_6fd2896a-5454-4651-a604-0b443424fbdb.spold;metolachlor production;RER;metolachlor
01c4e304-9423-4c14-ae56-2a033c2e95f5_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from SE;DK;electricity, high voltage
01c50325-6991-422b-8ffb-7a6bac13f776_f43c95e7-40e6-4ba9-9ab1-d1bc10d3fa79.spold;treatment of garden biowaste, home composting in heaps;RoW;compost
01ca150e-79dc-4492-a42a-295fece9c4d7_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, wood chips, 6667 kW;TH;electricity, high voltage
01ca150e-79dc-4492-a42a-295fece9c4d7_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW;TH;heat, district or industrial, other than natural gas
01ca85f4-64dc-4228-8b39-1c240ef17cc4_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;FRCC;electricity, high voltage
